NAME,PRIORNAME1,FED_RSS_ID,UNINUM,WEBADDR,ZIP,CHARTER_NUMBER
Manhattan Bank,The Manhattan State Bank,614751,7564,www.manhattanbank.bank,59741,
"The Bank and Trust, S.S.B.","The Bank and Trust, s.s.b.",623454,812,www.thebankandtrust.com,78840,
The Killbuck Savings Bank Company,,1017425,7577,http://www.killbuckbank.com,44637,
The Bank of Beaver City,,137456,7579,www.bankofbeaver.bank,73932,
The Fidelity Deposit and Discount Bank,,1007819,7582,http://www.bankatfidelity.com,18512,
The Donley County State Bank,,753856,7594,donleybank.com,79226,
"First State Bank of Ben Wheeler, Texas",,31657,7602,www.fsbbenwheeler.com,75754,
Citizens State Bank,"The Citizens State Bank, Corrigan, Texas",899651,7603,www.csbanktx.com,75939,
Security State Bank,Security State Bank of Farwell,389358,7605,www.ssbfarwell.com,79325,
The Buckholts State Bank,,53051,7610,www.buckholtsbank.com,76518,
First State Bank of Texas,First State Bank,190563,7614,www.fsboftx.com,77630,
First Security State Bank,,819154,7619,www.fssbtexas.com,76637,
Dominion Bank,Grapeland State Bank,404653,7621,www.dominionbanking.com,75252,
First Texas Bank,Citizens State Bank,444350,7622,www.firsttexasbank.bank,78626,
"The Poca Valley Bank, Inc.",The Poca Valley Bank,851239,7628,www.pocavalleybank.com,25286,
The Grant County Bank,,718538,7629,http://www.grantcountybank.com,26847,
Bar Harbor Bank & Trust,Bar Harbor Banking and Trust Company,522605,7640,www.barharbor.bank,04609,
Arrowhead Bank,First Llano Bank,570558,821,http://www.arrowheadbanktexas.com,78643,
Provident Bank,The Provident Institution for Savings in Jersey City,204004,7655,http://www.provident.Bank,07302,
Union County Savings Bank,,373601,7656,www.unioncountysavings.com,07208,
Citizens Community Bank,Citizens Bank of Hahira,564838,7676,www.ccbga.bank,31632,
Sainte Marie State Bank,,363442,7679,,62459,
